ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
IversAl01 ,2001,Allen,Iverson,east,N,1,25,5.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,9.0,2.0,2.0,1.0,0.0,0.0
IversAl01 ,2000,Allen,Iverson,east,N,1,27,25.0,2.0,0.0,2.0,5.0,4.0,0.0,4.0,0.0,21.0,9.0,6.0,6.0,1.0,1.0
IversAl01 ,1999,Allen,Iverson,east,N,1,28,26.0,0.0,2.0,2.0,9.0,2.0,0.0,5.0,0.0,18.0,10.0,5.0,4.0,2.0,2.0
JabalWa01 ,1969,Warren,Jabali,west,A,1,15,4.0,nan,nan,2.0,1.0,nan,nan,nan,2.0,3.0,1.0,2.0,2.0,0.0,0.0
JabalWa01 ,1971,Warren,Jabali,east,A,1,17,4.0,7.0,2.0,9.0,1.0,nan,nan,2.0,4.0,8.0,2.0,0.0,0.0,1.0,0.0
JabalWa01 ,1972,Warren,Jabali,west,A,1,31,16.0,2.0,2.0,4.0,7.0,3.0,0.0,1.0,2.0,12.0,7.0,3.0,1.0,1.0,1.0
JabalWa01 ,1973,Warren,Jabali,west,A,1,24,6.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,2.0,15.0,3.0,1.0,0.0,5.0,0.0
JacksLu01 ,1964,Lucious,Jackson,east,N,1,15,5.0,nan,nan,1.0,1.0,nan,nan,nan,nan,5.0,2.0,2.0,1.0,nan,nan
JacksMa01 ,1988,Mark,Jackson,east,N,1,16,9.0,nan,nan,2.0,4.0,nan,nan,nan,nan,5.0,3.0,4.0,2.0,nan,nan
JacksMe01 ,1968,Mervin,Jackson,west,A,1,11,3.0,1.0,1.0,2.0,1.0,nan,nan,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
JacksTo01 ,1967,Tony,Jackson,east,A,1,12,4.0,2.0,0.0,2.0,1.0,nan,nan,2.0,0.0,6.0,2.0,0.0,0.0,3.0,0.0
JohnsDe01 ,1984,Dennis,Johnson,east,N,1,12,8.0,nan,nan,6.0,3.0,nan,nan,nan,nan,7.0,3.0,2.0,2.0,nan,nan
JohnsDe01 ,1981,Dennis,Johnson,west,N,1,24,19.0,nan,nan,2.0,1.0,nan,nan,nan,nan,8.0,5.0,10.0,9.0,nan,nan
JohnsDe01 ,1980,Dennis,Johnson,west,N,1,24,19.0,nan,nan,2.0,1.0,nan,nan,nan,nan,8.0,5.0,10.0,9.0,nan,nan
JohnsDe01 ,1979,Dennis,Johnson,west,N,1,20,19.0,nan,nan,4.0,1.0,nan,nan,nan,nan,13.0,7.0,6.0,5.0,nan,nan
JohnsDe01 ,1978,Dennis,Johnson,west,N,1,27,12.0,nan,nan,1.0,3.0,nan,nan,nan,nan,7.0,5.0,2.0,2.0,nan,nan
JohnsEd02 ,1981,Eddie,Johnson,east,N,1,28,16.0,nan,nan,2.0,2.0,nan,nan,nan,nan,12.0,7.0,3.0,2.0,nan,nan
JohnsEd02 ,1980,Eddie,Johnson,east,N,1,28,16.0,nan,nan,2.0,2.0,nan,nan,nan,nan,12.0,7.0,3.0,2.0,nan,nan
JohnsEd02 ,1979,Eddie,Johnson,east,N,1,32,22.0,nan,nan,1.0,7.0,nan,nan,nan,nan,16.0,11.0,0.0,0.0,nan,nan
JohnsGu01 ,1970,Gus,Johnson,east,N,1,23,12.0,nan,nan,4.0,2.0,nan,nan,nan,nan,12.0,5.0,2.0,2.0,nan,nan
JohnsGu01 ,1969,Gus,Johnson,east,N,1,17,10.0,nan,nan,7.0,1.0,nan,nan,nan,nan,12.0,5.0,0.0,0.0,nan,nan
JohnsGu01 ,1968,Gus,Johnson,east,N,1,18,13.0,nan,nan,10.0,0.0,nan,nan,nan,nan,10.0,4.0,8.0,5.0,nan,nan
JohnsGu01 ,1967,Gus,Johnson,east,N,1,16,7.0,nan,nan,4.0,1.0,nan,nan,nan,nan,9.0,3.0,2.0,1.0,nan,nan
JohnsGu01 ,1964,Gus,Johnson,west,N,1,25,25.0,nan,nan,8.0,2.0,nan,nan,nan,nan,13.0,7.0,13.0,11.0,nan,nan
JohnsJo01 ,1971,John,Johnson,east,N,1,3,0.0,nan,nan,1.0,0.0,nan,nan,nan,nan,2.0,0.0,0.0,0.0,nan,nan
JohnsJo01 ,1970,John,Johnson,east,N,1,2,0.0,nan,nan,0.0,1.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan
JohnsKe01 ,1993,Kevin,Johnson,west,N,1,14,6.0,nan,nan,1.0,2.0,nan,nan,nan,nan,6.0,3.0,1.0,0.0,nan,nan
JohnsKe01 ,1990,Kevin,Johnson,west,N,1,23,5.0,nan,nan,2.0,7.0,nan,nan,nan,nan,5.0,2.0,2.0,1.0,nan,nan
JohnsKe01 ,1989,Kevin,Johnson,west,N,1,14,2.0,nan,nan,0.0,4.0,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan
JohnsLa01 ,1994,Larry,Johnson,east,N,1,20,7.0,nan,nan,4.0,2.0,nan,nan,nan,nan,3.0,2.0,2.0,2.0,nan,nan
JohnsLa01 ,1992,Larry,Johnson,west,N,1,16,4.0,nan,nan,4.0,0.0,nan,nan,nan,nan,6.0,2.0,0.0,0.0,nan,nan
JohnsMa01 ,1979,Marques,Johnson,west,N,1,34,4.0,nan,nan,4.0,1.0,nan,nan,nan,nan,6.0,1.0,2.0,2.0,nan,nan
JohnsMa01 ,1978,Marques,Johnson,west,N,1,20,10.0,nan,nan,6.0,2.0,nan,nan,nan,nan,11.0,3.0,6.0,4.0,nan,nan
JohnsMa01 ,1991,Magic,Johnson,west,N,1,29,25.0,nan,nan,5.0,9.0,nan,nan,nan,nan,12.0,9.0,4.0,4.0,nan,nan
JohnsMa01 ,1990,Magic,Johnson,west,N,1,28,16.0,nan,nan,4.0,3.0,nan,nan,nan,nan,16.0,7.0,0.0,0.0,nan,nan
JohnsMa01 ,1989,Magic,Johnson,west,N,1,25,22.0,nan,nan,6.0,4.0,nan,nan,nan,nan,15.0,9.0,0.0,0.0,nan,nan
JohnsMa01 ,1987,Magic,Johnson,west,N,1,39,17.0,nan,nan,6.0,19.0,nan,nan,nan,nan,15.0,4.0,9.0,9.0,nan,nan
JohnsMa01 ,1986,Magic,Johnson,west,N,1,34,9.0,nan,nan,7.0,13.0,nan,nan,nan,nan,10.0,4.0,2.0,1.0,nan,nan
JohnsMa01 ,1985,Magic,Johnson,west,N,1,28,6.0,nan,nan,4.0,15.0,nan,nan,nan,nan,3.0,1.0,4.0,4.0,nan,nan
JohnsMa01 ,1984,Magic,Johnson,west,N,1,31,21.0,nan,nan,5.0,15.0,nan,nan,nan,nan,14.0,7.0,8.0,7.0,nan,nan
JohnsMa01 ,1983,Magic,Johnson,west,N,1,37,15.0,nan,nan,9.0,22.0,nan,nan,nan,nan,13.0,6.0,2.0,2.0,nan,nan
JohnsMa01 ,1982,Magic,Johnson,west,N,1,33,17.0,nan,nan,5.0,16.0,nan,nan,nan,nan,16.0,7.0,4.0,3.0,nan,nan
JohnsMa01 ,1979,Magic,Johnson,west,N,1,24,12.0,nan,nan,2.0,4.0,nan,nan,nan,nan,8.0,5.0,2.0,2.0,nan,nan
JohnsMa01 ,1988,Earvin,Johnson,west,N,1,99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
JohnsMa02 ,1985,Marques,Johnson,west,N,1,13,6.0,nan,nan,3.0,2.0,nan,nan,nan,nan,6.0,3.0,0.0,0.0,nan,nan
JohnsMa02 ,1982,Marques,Johnson,east,N,1,20,7.0,nan,nan,2.0,2.0,nan,nan,nan,nan,10.0,3.0,2.0,1.0,nan,nan
JohnsMa02 ,1981,Marques,Johnson,east,N,1,19,7.0,nan,nan,4.0,2.0,nan,nan,nan,nan,2.0,1.0,6.0,5.0,nan,nan
JohnsMa02 ,1980,Marques,Johnson,east,N,1,19,7.0,nan,nan,4.0,2.0,nan,nan,nan,nan,2.0,1.0,6.0,5.0,nan,nan
JohnsNe01 ,1970,Neil,Johnson,east,A,1,4,0.0,1.0,0.0,1.0,0.0,nan,nan,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
JohnsNe02 ,1957,Neil,Johnston,east,N,1,22,14.0,nan,nan,8.0,1.0,nan,nan,nan,nan,13.0,6.0,2.0,2.0,nan,nan
JohnsNe02 ,1956,Neil,Johnston,east,N,1,23,19.0,nan,nan,9.0,1.0,nan,nan,nan,nan,12.0,8.0,3.0,3.0,nan,nan
JohnsNe02 ,1955,Neil,Johnston,east,N,1,25,17.0,nan,nan,10.0,1.0,nan,nan,nan,nan,9.0,5.0,11.0,7.0,nan,nan
