player_name,ppg,rpg,apg,outlier_score,outlier_iso,outlier_z,outlier_stat
Billy Cunningham,23.137931034482758,11.577586206896552,5.862068965517241,3,1,1,1
Samuel Dalembert,6.872340425531915,6.574468085106383,0.3191489361702128,3,1,1,1
Erick Dampier,8.904676258992806,7.363309352517986,0.9442446043165468,3,1,1,1
Lou Dampier,18.854395604395606,3.1346153846153846,5.554945054945055,3,1,1,1
Mel Daniels,18.69267515923567,15.117834394904458,1.805732484076433,3,1,1,1
Adrian Dantley,24.26910994764398,5.712041884816754,2.9633507853403143,3,1,1,1
Baron Davis,15.58435207823961,3.838630806845966,6.816625916870415,3,1,1,1
Walter Davis,18.897386253630202,2.9554695062923524,3.7541142303969024,3,1,1,1
Darryl Dawkins,12.02892561983471,6.104683195592287,1.2630853994490359,3,1,1,1
Dave Debusschere,16.06057142857143,10.992,2.8537142857142856,3,1,1,1
Vlade Divac,11.814814814814815,8.223985890652557,3.122574955908289,3,1,1,1
Sherman Douglas,11.013071895424837,2.1856209150326795,5.929411764705883,3,1,1,1
Clyde Drexler,20.437384898710867,6.148250460405157,5.639963167587477,3,1,1,1
Walter Dukes,10.4249547920434,11.253164556962025,1.0994575045207957,2,0,1,1
Joe Dumars,16.111001964636543,2.1640471512770136,4.530451866404715,3,1,1,1
Tim Duncan,22.532423208191126,12.18259385665529,3.138225255972696,3,1,1,1
Mark Eaton,5.961142857142857,7.930285714285715,0.96,3,1,1,1
James Edwards,12.724315068493151,5.140410958904109,1.283390410958904,2,0,1,1
Pervis Ellison,9.481012658227849,6.687763713080169,1.4578059071729959,2,0,1,1
Len Elmore,10.594771241830065,7.934640522875817,1.026143790849673,3,1,1,1
Alex English,21.46940486169321,5.480301760268231,3.647108130762783,3,1,1,1
Julius Erving,28.653562653562652,12.098280098280098,4.796068796068796,3,1,1,1
Julius Erving,21.966507177033492,6.69976076555024,3.8564593301435406,3,1,1,1
Patrick Ewing,20.976331360946745,9.810650887573965,1.8723584108199494,3,1,1,1
Sleepy Floyd,12.810867293625915,2.606060606060606,5.407523510971787,3,1,1,1
Phil Ford,11.605809128630705,1.7717842323651452,6.3962655601659755,3,1,1,1
T.J. Ford,7.109090909090909,3.2181818181818183,6.472727272727273,2,0,1,1
Adonal Foyle,4.5813953488372094,5.187984496124031,0.5290697674418605,3,1,1,1
Steve Francis,19.66592920353982,6.073008849557522,6.477876106194691,3,1,1,1
Walt Frazier,18.886060606060607,5.8545454545454545,6.109090909090909,3,1,1,1
World Free,20.26523702031603,2.7426636568848757,3.7460496613995486,3,1,1,1
Mike Gale,7.443708609271523,2.4768211920529803,4.337748344370861,3,1,1,1
Kevin Garnett,20.233548387096775,11.098064516129032,4.548387096774194,3,1,1,1
Pau Gasol,18.033557046979865,8.25503355704698,2.634228187919463,3,1,1,1
George Gervin,21.88475836431227,7.41635687732342,2.171003717472119,3,1,1,1
George Gervin,26.1795195954488,4.5600505689001265,2.7989886219974713,3,1,1,1
Artis Gilmore,22.29047619047619,17.06904761904762,3.030952380952381,3,1,1,1
Artis Gilmore,17.138613861386137,10.078107810781079,1.954895489548955,3,1,1,1
Mike Green,15.13551401869159,8.654205607476635,1.1542056074766356,3,1,1,1
Mike Green,8.416326530612245,5.424489795918367,1.3877551020408163,2,0,1,1
Eddie Griffin,8.331818181818182,6.045454545454546,0.8727272727272727,2,0,1,1
Alex Groza,22.5,5.453846153846154,2.4461538461538463,3,1,1,1
Jim Hadnot,17.454545454545453,12.155844155844155,1.7532467532467533,3,1,1,1
Tim Hardaway,17.73125720876586,3.292964244521338,8.183391003460208,3,1,1,1
Reggie Harding,10.282051282051283,10.974358974358974,1.8205128205128205,3,1,1,1
Ira Harge,10.295081967213115,11.604215456674472,1.7236533957845432,3,1,1,1
Derek Harper,13.341951626355296,2.406171809841535,5.4804003336113425,3,1,1,1
Ron Harper,13.785926660059465,4.270564915758176,3.881070366699703,3,1,1,1
